================================================================================
CRAWLER V2
================================================================================
Fuente: Fundación para el Desarrollo Tecnológico Agropecuario de los Valles
URL configurada: https://www.icco.org
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.icco.org
  Utilizada: https://www.icco.org/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.icco.org/

URL de trabajo: https://www.icco.org/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_26_FDTA_VALLES] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.icco.org/
[FULL_26_FDTA_VALLES] t= 181.4s | pag= 71 | files= 374 | data=  9 | cola= 104 | prio=50 | https://www.icco.org/icco-documentation/icco-agreements-and-their-history/
[FULL_26_FDTA_VALLES] t= 182.7s | pag= 72 | files= 397 | data=  9 | cola= 107 | prio=50 | https://www.icco.org/icco-documentation/projects/
[FULL_26_FDTA_VALLES] t= 183.5s | pag= 72 | files= 397 | data=  9 | cola= 106 | prio=50 | https://www.icco.org/shop/
[FULL_26_FDTA_VALLES] t= 186.2s | pag= 73 | files= 397 | data=  9 | cola= 112 | prio=10 | https://www.icco.org/shop/customized-data-services-15-years-of-data/
[FULL_26_FDTA_VALLES] t= 187.7s | pag= 74 | files= 397 | data=  9 | cola= 114 | prio=10 | https://www.icco.org/shop/historical-cocoa-prices-data-access-pre-2024/
[FULL_26_FDTA_VALLES] t= 189.9s | pag= 75 | files= 397 | data=  9 | cola= 115 | prio=10 | https://www.icco.org/shop/icco-monthly-report-annual-subscription/
[FULL_26_FDTA_VALLES] t= 191.3s | pag= 76 | files= 397 | data=  9 | cola= 116 | prio=10 | https://www.icco.org/shop/customized-data-services-15-years-of-data/?s=
[FULL_26_FDTA_VALLES] t= 192.8s | pag= 77 | files= 397 | data=  9 | cola= 115 | prio=10 | https://www.icco.org/shop/customized-data-services-15-years-of-data/?add-to-cart=28838
[FULL_26_FDTA_VALLES] t= 195.1s | pag= 77 | files= 397 | data=  9 | cola= 114 | prio=10 | https://www.icco.org/shop/historical-cocoa-prices-data-access-pre-2024/?s=
[FULL_26_FDTA_VALLES] t= 197.8s | pag= 78 | files= 397 | data=  9 | cola= 113 | prio=10 | https://www.icco.org/shop/historical-cocoa-prices-data-access-pre-2024/?add-to-cart=28841
[FULL_26_FDTA_VALLES] t= 199.8s | pag= 78 | files= 397 | data=  9 | cola= 112 | prio=10 | https://www.icco.org/shop/icco-monthly-report-annual-subscription/?s=
