================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] t= 519.1s | pag= 93 | files=1585 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=102&q=moneda-mercado-semanal
[BCB] t= 520.5s | pag= 94 | files=1595 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=103&q=moneda-mercado-semanal
[BCB] t= 522.3s | pag= 95 | files=1605 | data=  6 | cola= 208 | prio= 2 | https://www.bcb.gob.bo/?page=104&q=moneda-mercado-semanal
[BCB] t= 523.7s | pag= 96 | files=1612 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=105&q=moneda-mercado-semanal
[BCB] t= 525.1s | pag= 97 | files=1621 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=106&q=moneda-mercado-semanal
[BCB] t= 526.4s | pag= 98 | files=1631 | data=  6 | cola= 205 | prio= 2 | https://www.bcb.gob.bo/?page=107&q=moneda-mercado-semanal
[BCB] t= 528.3s | pag= 99 | files=1641 | data=  6 | cola= 204 | prio= 2 | https://www.bcb.gob.bo/?page=108&q=moneda-mercado-semanal
[BCB] t= 529.6s | pag=100 | files=1651 | data=  6 | cola= 203 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=boletines-mensuales
[BCB] t= 531.0s | pag=101 | files=1663 | data=  6 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?page=10&q=boletines-mensuales
[BCB] t= 532.5s | pag=102 | files=1675 | data=  6 | cola= 201 | prio= 2 | https://www.bcb.gob.bo/?page=11&q=boletines-mensuales
[BCB] t= 534.1s | pag=103 | files=1687 | data=  6 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?page=12&q=boletines-mensuales
[BCB] t= 535.8s | pag=104 | files=1699 | data=  6 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=17&q=boletines-mensuales
[BCB] t= 537.2s | pag=105 | files=1711 | data=  6 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=13&q=boletines-mensuales
[BCB] t= 538.5s | pag=106 | files=1723 | data=  6 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=14&q=boletines-mensuales
[BCB] t= 540.1s | pag=107 | files=1735 | data=  6 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=15&q=boletines-mensuales
[BCB] t= 541.5s | pag=108 | files=1747 | data=  6 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=16&q=boletines-mensuales
[BCB] t= 543.0s | pag=109 | files=1759 | data=  6 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=reporte-estadistico
[BCB] t= 544.8s | pag=110 | files=1780 | data=  6 | cola= 193 | prio= 2 | https://www.bcb.gob.bo/?page=10&q=reporte-estadistico
[BCB] t= 546.3s | pag=111 | files=1800 | data=  6 | cola= 192 | prio= 2 | https://www.bcb.gob.bo/?page=11&q=reporte-estadistico
[BCB] t= 547.9s | pag=112 | files=1820 | data=  6 | cola= 191 | prio= 2 | https://www.bcb.gob.bo/?page=12&q=reporte-estadistico
[BCB] t= 549.5s | pag=113 | files=1840 | data=  6 | cola= 190 | prio= 2 | https://www.bcb.gob.bo/?page=15&q=reporte-estadistico
[BCB] t= 551.0s | pag=114 | files=1850 | data=  6 | cola= 189 | prio= 2 | https://www.bcb.gob.bo/?page=13&q=reporte-estadistico
[BCB] t= 552.2s | pag=115 | files=1867 | data=  6 | cola= 188 | prio= 2 | https://www.bcb.gob.bo/?page=14&q=reporte-estadistico
[BCB] t= 553.6s | pag=116 | files=1877 | data=  6 | cola= 187 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 555.3s | pag=117 | files=1877 | data=  6 | cola= 186 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 556.6s | pag=118 | files=1877 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 558.3s | pag=119 | files=1877 | data=  6 | cola= 184 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 560.0s | pag=120 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 561.2s | pag=121 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 562.9s | pag=122 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 564.4s | pag=123 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
