================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] t= 446.0s | pag= 55 | files= 946 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=boletines-mensuales
[BCB] t= 447.7s | pag= 56 | files= 958 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=reporte-estadistico
[BCB] t= 449.2s | pag= 57 | files= 988 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=reporte-estadistico
[BCB] t= 450.7s | pag= 58 | files=1018 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=reporte-estadistico
[BCB] t= 452.4s | pag= 59 | files=1048 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=reporte-estadistico
[BCB] t= 453.8s | pag= 60 | files=1078 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=reporte-estadistico
[BCB] t= 454.9s | pag= 61 | files=1108 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=reporte-estadistico
[BCB] t= 456.3s | pag= 62 | files=1138 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=reporte-estadistico
[BCB] t= 458.0s | pag= 63 | files=1168 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=reporte-estadistico
[BCB] t= 459.8s | pag= 64 | files=1198 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=16&q=reporte-estadistico
[BCB] t= 461.2s | pag= 65 | files=1202 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=pub_serie-compendios-encuentro-economistas-bolivia
[BCB] t= 462.7s | pag= 66 | files=1205 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?q=servicios%2Fufv%2Ffaqs
[BCB] t= 464.1s | pag= 67 | files=1205 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?q=servicios%2Fufv%2Freglamentos
[BCB] t= 466.3s | pag= 67 | files=1205 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/librerias/indicadores/ufv/ultimo.php
[BCB] t= 468.2s | pag= 68 | files=1205 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] DATASETS=5 | data_html_table | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 470.3s | pag= 69 | files=1205 | data=  5 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] DATASETS=6 | data_html_table | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 472.0s | pag= 70 | files=1205 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=indicadores_inflacion
[BCB] t= 473.4s | pag= 71 | files=1205 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=indicadores_inflacion
[BCB] t= 474.8s | pag= 72 | files=1205 | data=  6 | cola= 208 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=indicadores_inflacion
[BCB] t= 476.6s | pag= 73 | files=1205 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=indicadores_inflacion
[BCB] t= 478.4s | pag= 74 | files=1205 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=indicadores_inflacion
[BCB] t= 479.9s | pag= 75 | files=1205 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=indicadores_inflacion
[BCB] t= 481.5s | pag= 76 | files=1205 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=indicadores_inflacion
[BCB] t= 482.8s | pag= 77 | files=1205 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=indicadores_inflacion
