================================================================================
CRAWLER V2
================================================================================
Fuente: Bureau of Transportation Statistics - TranStats
URL configurada: https://www.transtats.bts.gov/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.transtats.bts.gov/
  Utilizada: https://www.transtats.bts.gov/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.transtats.bts.gov/

URL de trabajo: https://www.transtats.bts.gov/
Seeds: 3
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[TRANSTATS] t=  45.8s | pag= 54 | files=   3 | data=  8 | cola= 423 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EFD&QO_anzr=Nv4yv0r%EF%BF%BDb0-gvzr%EF%BF%BDcr4s14zn0pr%EF%BF%BDQn6n&QO_fu146_anzr=b0-gvzr&Yv0x=D
[TRANSTATS] DATASETS=9 | database_dataset | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EFD&QO_anzr=Nv4yv0r%EF%BF%BDb0-gvzr%EF%BF%BDcr4s14zn0pr%EF%BF%BDQn6n&QO_fu146_anzr=b0-gvzr&Yv0x=D
[TRANSTATS] t=  46.5s | pag= 55 | files=   3 | data=  9 | cola= 423 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EFI&QO_anzr=Nv4yv0r%EF%BF%BDb4vtv0%EF%BF%BDn0q%EF%BF%BDQr56v0n6v10%EF%BF%BDf748rB%EF%BF%BD%25FLQOEO%25FM&QO_fu146_anzr=b4vtv0%EF%BF%BDn0q%EF%BF%BDQr56v0n6v10%EF%BF%BDf748rB&Yv0x=D
[TRANSTATS] DATASETS=10 | database_dataset | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EFI&QO_anzr=Nv4yv0r%EF%BF%BDb4vtv0%EF%BF%BDn0q%EF%BF%BDQr56v0n6v10%EF%BF%BDf748rB%EF%BF%BD%25FLQOEO%25FM&QO_fu146_anzr=b4vtv0%EF%BF%BDn0q%EF%BF%BDQr56v0n6v10%EF%BF%BDf748rB&Yv0x=D
[TRANSTATS] t=  47.3s | pag= 56 | files=   3 | data= 10 | cola= 423 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=KDD&QO_anzr=Nv4yv0r%EF%BF%BDb4vtv0%EF%BF%BDn0q%EF%BF%BDQr56v0n6v10%EF%BF%BDf748rB%EF%BF%BD%25FLQOEP%25FM&QO_fu146_anzr=b4vtv0%EF%BF%BDn0q%EF%BF%BDQr56v0n6v10%EF%BF%BDf748rB&Yv0x=D
[TRANSTATS] t=  48.0s | pag= 57 | files=   3 | data= 11 | cola= 423 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=IKD&QO_anzr=Nzr4vpn0%EF%BF%BDU175v0t%EF%BF%BDf748rB&Yv0x=u6625%25GN%2F%2F999.u7q75r4.14t%2Fqn6n5r65%2Fnu5.u6zy
[TRANSTATS] t=  48.7s | pag= 58 | files=   3 | data= 12 | cola= 429 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=IDI&QO_anzr=Nzr4vpn0%EF%BF%BDg4n8ry%EF%BF%BDf748rB%EF%BF%BD%25FLNgf%25FM%EF%BF%BDEMMI&QO_fu146_anzr=Ngf&Yv0x=D
[TRANSTATS] t=  49.5s | pag= 59 | files=   3 | data= 13 | cola= 431 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=GLI&QO_anzr=N007ny%EF%BF%BDR0r4tB%EF%BF%BDer8vr9&Yv0x=u6625%25GN%2F%2F999.rvn.q1r.t18%2Frzr7%2Fnr4%2Fp106r065.u6zy
[TRANSTATS] t=  50.1s | pag= 60 | files=   4 | data= 14 | cola= 437 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=FJI&QO_anzr=N007ny%EF%BF%BDf6n6r%EF%BF%BDcr4510ny%EF%BF%BDV0p1zr&Yv0x=u6625%25GN%2F%2F999.orn.t18%2Fvgnoyr%2Fvgnoyr.psz%25GS4r3vq%25GQKD%25FJ56r2%25GQE%25FJv574v%25GQE%25FJnp4q0%25GQH%25FG4r3vq%25GQKD%25FJ56r2%25GQE%25FJv574v%25GQE
[TRANSTATS] t=  50.9s | pag= 61 | files=   4 | data= 15 | cola= 442 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=GJI&QO_anzr=N007ny%EF%BF%BDf748rB%EF%BF%BD1s%EF%BF%BDZn07snp674r5&Yv0x=u6625%25GN%2F%2F999.pr0575.t18%2Frp10%2F18r48vr9%2FznDGDD.u6zy
