================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Minería y Metalurgia
URL configurada: https://www.mineria.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.mineria.gob.bo
  Utilizada: https://www.mineria.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.mineria.gob.bo/

URL de trabajo: https://www.mineria.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_42_MMYM] t= 106.8s | pag=109 | files= 159 | data=  0 | cola= 526 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto/ejecucion-presupuestaria-por-fuente-de-financiamiento-del-1-de-enero-al-31-de-diciembre-del-2025/
[FULL_42_MMYM] t= 107.8s | pag=110 | files= 159 | data=  0 | cola= 525 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto/estado-de-la-ejecucion-presupuestaria-de-gastos-por-categoria-programatica-fuente-y-organismo-financiador/
[FULL_42_MMYM] t= 108.7s | pag=111 | files= 159 | data=  0 | cola= 524 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto/estado-de-la-ejecucion-presupuestaria-de-gastos/
[FULL_42_MMYM] t= 109.7s | pag=112 | files= 159 | data=  0 | cola= 523 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto/gasto-por-unidad-ejecutora-y-fuente-de-financiamiento/
[FULL_42_MMYM] t= 110.7s | pag=113 | files= 159 | data=  0 | cola= 522 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto/presupuesto-institucional/
[FULL_42_MMYM] t= 111.7s | pag=114 | files= 159 | data=  0 | cola= 521 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto/ejecucion-presupuestaria/
[FULL_42_MMYM] t= 112.6s | pag=115 | files= 159 | data=  0 | cola= 520 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-no-006-2026/
[FULL_42_MMYM] t= 113.6s | pag=116 | files= 159 | data=  0 | cola= 519 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-seg-no-002-2026/
[FULL_42_MMYM] t= 114.6s | pag=117 | files= 159 | data=  0 | cola= 518 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-seg-no-001-2026/
[FULL_42_MMYM] t= 115.5s | pag=118 | files= 159 | data=  0 | cola= 517 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-relv-no-001-2026/
[FULL_42_MMYM] t= 116.5s | pag=119 | files= 159 | data=  0 | cola= 516 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-no-005-2026/
[FULL_42_MMYM] t= 117.4s | pag=120 | files= 159 | data=  0 | cola= 515 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-au-no-004-2026/
[FULL_42_MMYM] t= 118.6s | pag=121 | files= 159 | data=  0 | cola= 514 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-au-no-003-2026/
[FULL_42_MMYM] t= 119.5s | pag=122 | files= 159 | data=  0 | cola= 513 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-no-002-2026/
[FULL_42_MMYM] t= 120.5s | pag=123 | files= 159 | data=  0 | cola= 512 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-au-no-001-2026/
[FULL_42_MMYM] t= 121.5s | pag=124 | files= 159 | data=  0 | cola= 511 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-no-007-2025/
[FULL_42_MMYM] t= 122.6s | pag=125 | files= 159 | data=  0 | cola= 510 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-seg-no-004-2025/
[FULL_42_MMYM] t= 123.5s | pag=126 | files= 159 | data=  0 | cola= 509 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-seg-no-003-2025/
[FULL_42_MMYM] t= 124.5s | pag=127 | files= 159 | data=  0 | cola= 508 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-no-006-2025/
[FULL_42_MMYM] t= 125.6s | pag=128 | files= 159 | data=  0 | cola= 507 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-seg-no-001-2025/
[FULL_42_MMYM] t= 126.4s | pag=129 | files= 159 | data=  0 | cola= 506 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-no-004-2025/
[FULL_42_MMYM] t= 127.4s | pag=130 | files= 159 | data=  0 | cola= 505 | prio=50 | https://www.mineria.gob.bo/index.php/auditoria/resumen-ejecutivo-inf-mmm-uai-no-003-2025/
