================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Desarrollo Rural y Tierras
URL configurada: https://ruralytierras.gob.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://ruralytierras.gob.bo/
  Utilizada: https://ruralytierras.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://ruralytierras.gob.bo/

URL de trabajo: https://ruralytierras.gob.bo/
Seeds: 8
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[MDRYT] t=  63.8s | pag=126 | files=  43 | data=  7 | cola= 296 | prio=50 | https://ruralytierras.gob.bo/index.php/aprobacion-del-poa-documento-normativo/
[MDRYT] t=  64.5s | pag=126 | files=  43 | data=  7 | cola= 295 | prio=50 | https://ruralytierras.gob.bo/index.php/redes-sociales-y-medios-de-comunicacion/
[MDRYT] t=  65.9s | pag=127 | files=  43 | data=  7 | cola= 294 | prio=50 | https://ruralytierras.gob.bo/index.php/reglamentos/
[MDRYT] t=  66.5s | pag=128 | files=  43 | data=  7 | cola= 293 | prio=50 | https://ruralytierras.gob.bo/index.php/reglamentos-internos/
[MDRYT] t=  67.0s | pag=129 | files=  43 | data=  7 | cola= 292 | prio=50 | https://ruralytierras.gob.bo/index.php/resportes/
[MDRYT] t=  67.4s | pag=130 | files=  43 | data=  7 | cola= 291 | prio=50 | https://ruralytierras.gob.bo/index.php/tratados-internacionales/
[MDRYT] t=  67.8s | pag=131 | files=  43 | data=  7 | cola= 290 | prio=50 | https://ruralytierras.gob.bo/index.php/category/sin-categoria/
[MDRYT] t=  68.4s | pag=132 | files=  43 | data=  7 | cola= 289 | prio=50 | https://ruralytierras.gob.bo/index.php/tramite/regularizacion-y-saneamiento-de-tierras/
[MDRYT] t=  68.8s | pag=133 | files=  43 | data=  7 | cola= 288 | prio=50 | https://ruralytierras.gob.bo/index.php/tramite/tramite1/
[MDRYT] t=  69.3s | pag=134 | files=  43 | data=  7 | cola= 287 | prio=50 | https://ruralytierras.gob.bo/index.php/pei/titulo-lorem-del-plan-estrategico-institucional/
[MDRYT] t=  69.9s | pag=135 | files=  43 | data=  7 | cola= 286 | prio=50 | https://ruralytierras.gob.bo/index.php/auditoria/7475/
[MDRYT] t=  70.4s | pag=136 | files=  43 | data=  7 | cola= 285 | prio=50 | https://ruralytierras.gob.bo/index.php/auditoria/17060/
[MDRYT] t=  71.0s | pag=137 | files=  43 | data=  7 | cola= 284 | prio=50 | https://ruralytierras.gob.bo/index.php/contrato/17048/
[MDRYT] t=  71.5s | pag=138 | files=  43 | data=  7 | cola= 283 | prio=50 | https://ruralytierras.gob.bo/index.php/convocatoria/20495/
[MDRYT] t=  71.9s | pag=139 | files=  43 | data=  7 | cola= 282 | prio=50 | https://ruralytierras.gob.bo/index.php/convocatoria/20494/
[MDRYT] t=  72.4s | pag=140 | files=  43 | data=  7 | cola= 281 | prio=50 | https://ruralytierras.gob.bo/index.php/convocatoria/20493/
[MDRYT] t=  72.8s | pag=141 | files=  43 | data=  7 | cola= 280 | prio=50 | https://ruralytierras.gob.bo/index.php/convocatoria/20492/
[MDRYT] t=  73.2s | pag=142 | files=  43 | data=  7 | cola= 279 | prio=50 | https://ruralytierras.gob.bo/index.php/convocatoria/20491/
[MDRYT] t=  73.7s | pag=143 | files=  43 | data=  7 | cola= 278 | prio=50 | https://ruralytierras.gob.bo/index.php/convocatoria/20490/
