================================================================================
CRAWLER V2
================================================================================
Fuente: Servicio Plurinacional de Registro de Comercio
URL configurada: https://www.seprec.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.seprec.gob.bo
  Utilizada: https://www.seprec.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.seprec.gob.bo/

URL de trabajo: https://www.seprec.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_47_SEPREC] t= 103.4s | pag=107 | files= 192 | data=  1 | cola=  53 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-capacita-a-municipios-de-sipe-sipe-filadelfia-y-sorocachi-sobre-la-creacion-e-inscripcion-de-empresas-publicas/
[FULL_47_SEPREC] t= 104.2s | pag=108 | files= 192 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/obras-para-el-desarrollo-entregan-65-viviendas-y-enlosetado-en-tika-belen-y-romero-pampa-oruro/
[FULL_47_SEPREC] t= 104.9s | pag=109 | files= 192 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-refuerza-su-rol-empresarial-con-formacion-en-la-vuce/
[FULL_47_SEPREC] t= 105.7s | pag=110 | files= 192 | data=  1 | cola=  50 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-garantiza-costos-reducidos-y-tramites-gratuitos-para-promover-la-formalizacion-empresarial/
[FULL_47_SEPREC] t= 106.5s | pag=111 | files= 192 | data=  1 | cola=  49 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/pando-registra-4-437-inscripciones-empresariales-en-las-ultimas-dos-decadas-y-consolida-su-aporte-al-desarrollo-del-pais/
[FULL_47_SEPREC] t= 107.3s | pag=112 | files= 192 | data=  1 | cola=  48 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/santa-cruz-concentra-el-299-de-las-empresas-registradas-en-la-base-empresarial-del-seprec/
[FULL_47_SEPREC] t= 108.0s | pag=113 | files= 192 | data=  1 | cola=  47 | prio=50 | https://www.seprec.gob.bo/index.php/comunicados-de-prensa/page/1/
[FULL_47_SEPREC] t= 109.2s | pag=113 | files= 192 | data=  1 | cola=  46 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/bolivia-participo-en-la-xix-edicion-de-la-convencion-y-feria-internacional-informatica-2024-y-el-iv-encuentro-nacional-sobre-observatorios-de-ciencia-tecnologia-e-innovacion-en-la-habana-cuba/
[FULL_47_SEPREC] t= 110.7s | pag=114 | files= 192 | data=  1 | cola=  45 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/la-agetic-lleva-adelante-su-rendicion-publica-de-cuentas-inicial-2024/
[FULL_47_SEPREC] t= 111.5s | pag=115 | files= 192 | data=  1 | cola=  44 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/el-ministerio-de-la-presidencia-y-la-agetic-conmemoran-el-8m-con-una-nuevageneracion-de-ninas-y-adolescentes-en-la-ciencia-y-la-tecnologia/
[FULL_47_SEPREC] t= 112.2s | pag=116 | files= 192 | data=  1 | cola=  43 | prio=50 | https://www.seprec.gob.bo/index.php/leyes-2/page/1/
[FULL_47_SEPREC] t= 113.1s | pag=116 | files= 192 | data=  1 | cola=  42 | prio=50 | https://www.seprec.gob.bo/index.php/normativa-interna/page/1/
[FULL_47_SEPREC] t= 115.2s | pag=116 | files= 192 | data=  1 | cola=  41 | prio=50 | https://www.seprec.gob.bo/index.php/normativa-interna/page/4/
[FULL_47_SEPREC] t= 116.9s | pag=117 | files= 202 | data=  1 | cola=  40 | prio=50 | https://www.seprec.gob.bo/index.php/normativa-interna/page/5/
[FULL_47_SEPREC] t= 117.6s | pag=118 | files= 212 | data=  1 | cola=  39 | prio=50 | https://www.seprec.gob.bo/index.php/reglamentos-especificos/page/1/
[FULL_47_SEPREC] t= 118.6s | pag=118 | files= 212 | data=  1 | cola=  38 | prio=50 | https://www.seprec.gob.bo/index.php/tramite31/
[FULL_47_SEPREC] t= 120.6s | pag=119 | files= 212 | data=  1 | cola=  37 | prio=50 | https://www.seprec.gob.bo/index.php/tramite32/
[FULL_47_SEPREC] t= 121.5s | pag=120 | files= 212 | data=  1 | cola=  36 | prio=50 | https://www.seprec.gob.bo/index.php/tramite33/
[FULL_47_SEPREC] t= 122.2s | pag=121 | files= 212 | data=  1 | cola=  35 | prio=50 | https://www.seprec.gob.bo/index.php/tramite34/
[FULL_47_SEPREC] t= 123.6s | pag=122 | files= 212 | data=  1 | cola=  34 | prio=50 | https://www.seprec.gob.bo/index.php/tramite35/
[FULL_47_SEPREC] t= 124.5s | pag=123 | files= 212 | data=  1 | cola=  33 | prio=50 | https://www.seprec.gob.bo/index.php/tramite36/
[FULL_47_SEPREC] t= 125.3s | pag=124 | files= 212 | data=  1 | cola=  32 | prio=50 | https://www.seprec.gob.bo/index.php/tramite37/
[FULL_47_SEPREC] t= 126.1s | pag=125 | files= 212 | data=  1 | cola=  31 | prio=50 | https://www.seprec.gob.bo/index.php/tramite38/
[FULL_47_SEPREC] t= 126.8s | pag=126 | files= 212 | data=  1 | cola=  30 | prio=50 | https://www.seprec.gob.bo/index.php/tramite39/
[FULL_47_SEPREC] t= 127.5s | pag=127 | files= 212 | data=  1 | cola=  29 | prio=50 | https://www.seprec.gob.bo/index.php/tramite40/
[FULL_47_SEPREC] t= 128.4s | pag=128 | files= 212 | data=  1 | cola=  28 | prio=50 | https://www.seprec.gob.bo/index.php/tramite41/
[FULL_47_SEPREC] t= 129.2s | pag=129 | files= 212 | data=  1 | cola=  27 | prio=50 | https://www.seprec.gob.bo/index.php/tramite42/
[FULL_47_SEPREC] t= 130.0s | pag=130 | files= 212 | data=  1 | cola=  26 | prio=50 | https://www.seprec.gob.bo/index.php/tramite43/
