================================================================================
CRAWLER V2
================================================================================
Fuente: FINRURAL Bolivia
URL configurada: https://www.finrural.org.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.finrural.org.bo/
  Utilizada: https://www.finrural.org.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.finrural.org.bo/

URL de trabajo: https://www.finrural.org.bo/
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_08_FINRURAL_INDICADORES] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=2
[RETRY_08_FINRURAL_INDICADORES] t=   8.3s | pag=  0 | files=   0 | data=  0 | cola=   1 | prio= 0 | https://www.finrural.org.bo/
[RETRY_08_FINRURAL_INDICADORES] t=  98.2s | pag=  2 | files= 126 | data=  1 | cola=  78 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_04_2020-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  99.4s | pag=  2 | files= 126 | data=  1 | cola=  77 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_05_2020-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 100.6s | pag=  2 | files= 126 | data=  1 | cola=  76 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_06_2020-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 102.0s | pag=  2 | files= 126 | data=  1 | cola=  75 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_07_2020-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 103.3s | pag=  2 | files= 126 | data=  1 | cola=  74 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_08_2020-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 104.6s | pag=  2 | files= 126 | data=  1 | cola=  73 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_09_2020-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 105.8s | pag=  2 | files= 126 | data=  1 | cola=  72 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_10_2020-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 107.0s | pag=  2 | files= 126 | data=  1 | cola=  71 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_11_2020-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 108.3s | pag=  2 | files= 126 | data=  1 | cola=  70 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_12_2020-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 109.6s | pag=  2 | files= 126 | data=  1 | cola=  69 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_01_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 111.0s | pag=  2 | files= 126 | data=  1 | cola=  68 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_02_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 112.1s | pag=  2 | files= 126 | data=  1 | cola=  67 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_03_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 113.5s | pag=  2 | files= 126 | data=  1 | cola=  66 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_04_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 114.6s | pag=  2 | files= 126 | data=  1 | cola=  65 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_05_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 115.8s | pag=  2 | files= 126 | data=  1 | cola=  64 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_06_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 117.0s | pag=  2 | files= 126 | data=  1 | cola=  63 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_07_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 118.0s | pag=  2 | files= 126 | data=  1 | cola=  62 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_08_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 119.2s | pag=  2 | files= 126 | data=  1 | cola=  61 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_09_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 120.4s | pag=  2 | files= 126 | data=  1 | cola=  60 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_10_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 121.7s | pag=  2 | files= 126 | data=  1 | cola=  59 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_11_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 122.9s | pag=  2 | files= 126 | data=  1 | cola=  58 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2019/financiera_12_2019-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t= 124.0s | pag=  2 | files= 126 | data=  1 | cola=  57 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2018/financiera_01_2018-pdf.sha
