================================================================================
CRAWLER V2
================================================================================
Fuente: Registro de Comercio de Bolivia
URL configurada: https://www.seprec.gob.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.seprec.gob.bo/
  Utilizada: https://www.seprec.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.seprec.gob.bo/

URL de trabajo: https://www.seprec.gob.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_10_FUNDEMPRESA] t=  76.2s | pag= 68 | files= 160 | data=  1 | cola=  47 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-recuerda-a-empresas-agricolas-ganaderas-gomeras-y-agroindustriales-renovar-su-matricula-de-comercio-antes-del-30-de-noviembre/
[RETRY_10_FUNDEMPRESA] t=  77.0s | pag= 69 | files= 160 | data=  1 | cola=  46 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/beni-potencia-su-crecimiento-empresarial-y-se-consolida-como-referente-en-la-amazonia-boliviana/
[RETRY_10_FUNDEMPRESA] t=  77.9s | pag= 70 | files= 160 | data=  1 | cola=  45 | prio=50 | https://www.seprec.gob.bo/index.php/comunicados-de-prensa/page/2/
[RETRY_10_FUNDEMPRESA] t=  78.8s | pag= 71 | files= 160 | data=  1 | cola=  55 | prio=50 | https://www.seprec.gob.bo/index.php/comunicados-de-prensa/page/3/
[RETRY_10_FUNDEMPRESA] t=  79.6s | pag= 72 | files= 160 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/leyes-2/page/2/
[RETRY_10_FUNDEMPRESA] t=  80.5s | pag= 73 | files= 162 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/normativa-interna/page/2/
[RETRY_10_FUNDEMPRESA] t=  81.1s | pag= 74 | files= 172 | data=  1 | cola=  58 | prio=50 | https://www.seprec.gob.bo/index.php/normativa-interna/page/3/
[RETRY_10_FUNDEMPRESA] t=  81.9s | pag= 75 | files= 182 | data=  1 | cola=  58 | prio=50 | https://www.seprec.gob.bo/index.php/normativa-interna/page/6/
[RETRY_10_FUNDEMPRESA] t=  82.7s | pag= 76 | files= 191 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/reglamentos-especificos/page/2/
[RETRY_10_FUNDEMPRESA] t=  83.5s | pag= 77 | files= 196 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/reglamentos-especificos/page/3/
[RETRY_10_FUNDEMPRESA] t=  84.3s | pag= 78 | files= 196 | data=  1 | cola=  56 | prio=50 | https://seprec.gob.bo/index.php/lista-servicios-page/
[RETRY_10_FUNDEMPRESA] t=  85.5s | pag= 78 | files= 196 | data=  1 | cola=  55 | prio=50 | https://www.seprec.gob.bo/index.php/tramite11/
[RETRY_10_FUNDEMPRESA] t=  87.2s | pag= 79 | files= 196 | data=  1 | cola=  54 | prio=50 | https://www.seprec.gob.bo/index.php/tramite12/
[RETRY_10_FUNDEMPRESA] t=  88.0s | pag= 80 | files= 196 | data=  1 | cola=  53 | prio=50 | https://www.seprec.gob.bo/index.php/tramite13/
[RETRY_10_FUNDEMPRESA] t=  88.7s | pag= 81 | files= 196 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/tramite14/
[RETRY_10_FUNDEMPRESA] t=  89.5s | pag= 82 | files= 196 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/tramite15/
[RETRY_10_FUNDEMPRESA] t=  90.3s | pag= 83 | files= 196 | data=  1 | cola=  50 | prio=50 | https://www.seprec.gob.bo/index.php/tramite16/
[RETRY_10_FUNDEMPRESA] t=  90.9s | pag= 84 | files= 196 | data=  1 | cola=  49 | prio=50 | https://www.seprec.gob.bo/index.php/tramite17/
[RETRY_10_FUNDEMPRESA] t=  91.6s | pag= 85 | files= 196 | data=  1 | cola=  48 | prio=50 | https://www.seprec.gob.bo/index.php/tramite18/
[RETRY_10_FUNDEMPRESA] t=  92.3s | pag= 86 | files= 196 | data=  1 | cola=  47 | prio=50 | https://www.seprec.gob.bo/index.php/tramite19/
[RETRY_10_FUNDEMPRESA] t=  92.9s | pag= 87 | files= 196 | data=  1 | cola=  46 | prio=50 | https://www.seprec.gob.bo/index.php/tramite20/
[RETRY_10_FUNDEMPRESA] t=  93.6s | pag= 88 | files= 196 | data=  1 | cola=  45 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/1/
[RETRY_10_FUNDEMPRESA] t=  94.5s | pag= 88 | files= 196 | data=  1 | cola=  44 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/4/
[RETRY_10_FUNDEMPRESA] t=  96.2s | pag= 89 | files= 196 | data=  1 | cola=  53 | prio=50 | https://www.seprec.gob.bo/index.php/tramite21/
[RETRY_10_FUNDEMPRESA] t=  96.7s | pag= 90 | files= 196 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/tramite22/
[RETRY_10_FUNDEMPRESA] t=  97.4s | pag= 91 | files= 196 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/tramite23/
[RETRY_10_FUNDEMPRESA] t=  98.1s | pag= 92 | files= 196 | data=  1 | cola=  50 | prio=50 | https://www.seprec.gob.bo/index.php/tramite24/
[RETRY_10_FUNDEMPRESA] t=  98.8s | pag= 93 | files= 196 | data=  1 | cola=  49 | prio=50 | https://www.seprec.gob.bo/index.php/tramite25/
[RETRY_10_FUNDEMPRESA] t=  99.6s | pag= 94 | files= 196 | data=  1 | cola=  48 | prio=50 | https://www.seprec.gob.bo/index.php/tramite26/
[RETRY_10_FUNDEMPRESA] t= 100.3s | pag= 95 | files= 196 | data=  1 | cola=  47 | prio=50 | https://www.seprec.gob.bo/index.php/tramite27/
[RETRY_10_FUNDEMPRESA] t= 100.9s | pag= 96 | files= 196 | data=  1 | cola=  46 | prio=50 | https://www.seprec.gob.bo/index.php/tramite28/
[RETRY_10_FUNDEMPRESA] t= 101.7s | pag= 97 | files= 196 | data=  1 | cola=  45 | prio=50 | https://www.seprec.gob.bo/index.php/tramite29/
[RETRY_10_FUNDEMPRESA] t= 102.5s | pag= 98 | files= 196 | data=  1 | cola=  44 | prio=50 | https://www.seprec.gob.bo/index.php/tramite30/
[RETRY_10_FUNDEMPRESA] t= 103.3s | pag= 99 | files= 196 | data=  1 | cola=  43 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/5/
[RETRY_10_FUNDEMPRESA] t= 104.2s | pag=100 | files= 196 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/tramite61/
[RETRY_10_FUNDEMPRESA] t= 104.8s | pag=101 | files= 196 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/tramite62/
[RETRY_10_FUNDEMPRESA] t= 105.6s | pag=102 | files= 196 | data=  1 | cola=  50 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/6/
[RETRY_10_FUNDEMPRESA] t= 106.3s | pag=103 | files= 196 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-destaca-el-aporte-emprendedor-del-departamento-de-potosi-en-conmemoracion-a-su-aniversario/
[RETRY_10_FUNDEMPRESA] t= 107.0s | pag=104 | files= 196 | data=  1 | cola=  56 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-recibe-el-sello-de-inclusividad-por-promover-la-insercion-laboral-de-tutores-y-de-personas-con-discapacidad/
[RETRY_10_FUNDEMPRESA] t= 107.8s | pag=105 | files= 196 | data=  1 | cola=  55 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/aplicacion-movil-del-seprec-facilita-el-acceso-digital-a-servicios-empresariales/
[RETRY_10_FUNDEMPRESA] t= 108.5s | pag=106 | files= 196 | data=  1 | cola=  54 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-mantiene-costos-accesibles-y-estables-desde-el-inicio-de-sus-operaciones-promoviendo-la-formalizacion-empresarial-en-bolivia/
[RETRY_10_FUNDEMPRESA] t= 109.3s | pag=107 | files= 196 | data=  1 | cola=  53 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-capacita-a-municipios-de-sipe-sipe-filadelfia-y-sorocachi-sobre-la-creacion-e-inscripcion-de-empresas-publicas/
[RETRY_10_FUNDEMPRESA] t= 109.9s | pag=108 | files= 196 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/obras-para-el-desarrollo-entregan-65-viviendas-y-enlosetado-en-tika-belen-y-romero-pampa-oruro/
[RETRY_10_FUNDEMPRESA] t= 110.5s | pag=109 | files= 196 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-refuerza-su-rol-empresarial-con-formacion-en-la-vuce/
[RETRY_10_FUNDEMPRESA] t= 111.2s | pag=110 | files= 196 | data=  1 | cola=  50 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-garantiza-costos-reducidos-y-tramites-gratuitos-para-promover-la-formalizacion-empresarial/
[RETRY_10_FUNDEMPRESA] t= 111.9s | pag=111 | files= 196 | data=  1 | cola=  49 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/pando-registra-4-437-inscripciones-empresariales-en-las-ultimas-dos-decadas-y-consolida-su-aporte-al-desarrollo-del-pais/
[RETRY_10_FUNDEMPRESA] t= 112.7s | pag=112 | files= 196 | data=  1 | cola=  48 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/santa-cruz-concentra-el-299-de-las-empresas-registradas-en-la-base-empresarial-del-seprec/
