================================================================================
CRAWLER V2
================================================================================
Fuente: Danmarks Statistik
URL configurada: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
  Utilizada: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api

URL de trabajo: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_17_STATISTICS_DENMARK] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=0
[RETRY_17_STATISTICS_DENMARK] t=  81.7s | pag= 67 | files=  32 | data= 16 | cola= 356 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/databestilling/tilknytning-af-eksterne-data
[RETRY_17_STATISTICS_DENMARK] t=  82.2s | pag= 68 | files=  32 | data= 17 | cola= 356 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/databestilling/anmodning-om-abonnement
[RETRY_17_STATISTICS_DENMARK] t=  82.7s | pag= 69 | files=  32 | data= 17 | cola= 355 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/analyseplatform/forskermaskinen
[RETRY_17_STATISTICS_DENMARK] t=  83.3s | pag= 70 | files=  32 | data= 17 | cola= 382 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/analyseplatform/hosted-server
[RETRY_17_STATISTICS_DENMARK] t=  83.8s | pag= 71 | files=  32 | data= 17 | cola= 382 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/analyseplatform/high-performance-computing
[RETRY_17_STATISTICS_DENMARK] t=  84.2s | pag= 72 | files=  32 | data= 17 | cola= 382 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/regler-og-datasikkerhed/regler-for-arbejdet-med-mikrodata
[RETRY_17_STATISTICS_DENMARK] t=  84.8s | pag= 73 | files=  32 | data= 17 | cola= 381 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/regler-og-datasikkerhed/sanktionsregler
[RETRY_17_STATISTICS_DENMARK] t=  85.3s | pag= 74 | files=  32 | data= 18 | cola= 380 | prio=10 | https://www.dst.dk/en/Statistik/historiske-publikationsserier
[RETRY_17_STATISTICS_DENMARK] t=  86.2s | pag= 74 | files=  32 | data= 18 | cola= 379 | prio=10 | https://www.dst.dk/da/Statistik/historiske-publikationsserier/ste-1983-2022
[RETRY_17_STATISTICS_DENMARK] t=  89.2s | pag= 75 | files=  32 | data= 19 | cola= 428 | prio=10 | https://www.dst.dk/da/Statistik/historiske-publikationsserier/ste-1909-1982
[RETRY_17_STATISTICS_DENMARK] t=  89.5s | pag= 76 | files=  32 | data= 19 | cola= 427 | prio=10 | https://www.dst.dk/da/Statistik/historiske-publikationsserier/statistikservice
[RETRY_17_STATISTICS_DENMARK] t=  90.1s | pag= 77 | files=  32 | data= 19 | cola= 476 | prio=10 | https://www.dst.dk/da/Statistik/historiske-publikationsserier/StatMed
[RETRY_17_STATISTICS_DENMARK] t=  90.8s | pag= 78 | files=  32 | data= 20 | cola= 546 | prio=10 | https://www.dst.dk/da/TilSalg/interview/indsamling-af-data
[RETRY_17_STATISTICS_DENMARK] t=  91.4s | pag= 79 | files=  32 | data= 20 | cola= 545 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/danmarks-datavindue
[RETRY_17_STATISTICS_DENMARK] t=  92.2s | pag= 79 | files=  32 | data= 20 | cola= 544 | prio=10 | https://www.dst.dk/da/TilSalg/perspektiv/2026/naar-data-bliver-til-en-ekstra-laerer-i-klasselokalet
[RETRY_17_STATISTICS_DENMARK] t=  94.2s | pag= 80 | files=  34 | data= 20 | cola= 545 | prio=10 | https://www.dst.dk/da/OmDS/organisation/udvalg/raadgivende-udvalg/erhvervsdataindsamling
[RETRY_17_STATISTICS_DENMARK] t=  94.8s | pag= 81 | files=  34 | data= 20 | cola= 553 | prio=10 | https://www.dst.dk/da/OmDS/kvalitet-og-styring/datasikkerhed-i-danmarks-statistik
[RETRY_17_STATISTICS_DENMARK] t=  95.4s | pag= 82 | files=  34 | data= 21 | cola= 560 | prio=10 | https://www.dst.dk/da/Indberet/vejledning-til-digital-indberetning/beskyttelse-af-persondata
[RETRY_17_STATISTICS_DENMARK] t=  96.0s | pag= 83 | files=  34 | data= 22 | cola= 566 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/regler-og-datasikkerhed/regler-for-hjemtagelse-af-analyseresultater
[RETRY_17_STATISTICS_DENMARK] t=  96.6s | pag= 84 | files=  34 | data= 23 | cola= 566 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/om-danmarks-datavindue/kontakt-danmarks-datavindue
[RETRY_17_STATISTICS_DENMARK] t=  97.1s | pag= 85 | files=  34 | data= 23 | cola= 565 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/om-danmarks-datavindue/videovejledninger
[RETRY_17_STATISTICS_DENMARK] t=  97.7s | pag= 86 | files=  34 | data= 23 | cola= 564 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/om-danmarks-datavindue/rapporter-fra-danmarks-datavindue
[RETRY_17_STATISTICS_DENMARK] t=  98.2s | pag= 87 | files=  34 | data= 23 | cola= 588 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/om-danmarks-datavindue/rammeaftale-med-deic
[RETRY_17_STATISTICS_DENMARK] t=  98.8s | pag= 88 | files=  34 | data= 24 | cola= 587 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/nyt-og-meddelelser/2026/Overgang_til_FortiToken
[RETRY_17_STATISTICS_DENMARK] t=  99.3s | pag= 89 | files=  34 | data= 24 | cola= 586 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/nyt-og-meddelelser/2026/Seminar_om_HPC_samarbejdet
[RETRY_17_STATISTICS_DENMARK] t=  99.9s | pag= 90 | files=  34 | data= 24 | cola= 585 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/nyt-og-meddelelser/2026/Udd_Sprogvurdering
[RETRY_17_STATISTICS_DENMARK] t= 100.5s | pag= 91 | files=  34 | data= 24 | cola= 584 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/nyt-og-meddelelser/2026/KONTANTHJAELP
[RETRY_17_STATISTICS_DENMARK] t= 101.0s | pag= 92 | files=  34 | data= 24 | cola= 583 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/nyt-og-meddelelser/2026/Indsatser_serviceloven
