================================================================================
CRAWLER V2
================================================================================
Fuente: Instituto Boliviano del Cemento y el Hormig�n
URL configurada: https://www.ibch.com/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.ibch.com/
  Utilizada: https://www.ibch.com/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.ibch.com/

URL de trabajo: https://www.ibch.com/
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_11_IBCH] t= 207.0s | pag=120 | files=  39 | data=  0 | cola=  62 | prio=50 | https://www.ibch.com/categoria-producto/cursos/?add-to-cart=3283
[RETRY_11_IBCH] t= 208.1s | pag=121 | files=  39 | data=  0 | cola=  62 | prio=50 | https://www.ibch.com/categoria-producto/cursos/?add-to-cart=3292
[RETRY_11_IBCH] t= 209.3s | pag=122 | files=  39 | data=  0 | cola=  62 | prio=50 | https://www.ibch.com/producto/curso-diseno-de-pavimentos-rigidos-y-flexibles/?add-to-cart=2437
[RETRY_11_IBCH] t= 210.5s | pag=123 | files=  39 | data=  0 | cola=  61 | prio=50 | https://www.ibch.com/producto/curso-diseno-de-pavimentos-rigidos-y-flexibles/?add-to-cart=3283
[RETRY_11_IBCH] t= 211.9s | pag=124 | files=  39 | data=  0 | cola=  60 | prio=50 | https://www.ibch.com/producto/curso-diseno-de-pavimentos-rigidos-y-flexibles/?add-to-cart=3292
[RETRY_11_IBCH] t= 213.3s | pag=125 | files=  39 | data=  0 | cola=  59 | prio=50 | https://www.ibch.com/producto/curso-diseno-de-sobrecarpetas-recapados-aashto-93/?add-to-cart=2381
[RETRY_11_IBCH] t= 214.5s | pag=126 | files=  39 | data=  0 | cola=  58 | prio=50 | https://www.ibch.com/producto/curso-diseno-de-sobrecarpetas-recapados-aashto-93/?add-to-cart=3292
[RETRY_11_IBCH] t= 215.6s | pag=127 | files=  39 | data=  0 | cola=  57 | prio=50 | https://www.ibch.com/producto/curso-diseno-de-sobrecarpetas-recapados-aashto-93/?add-to-cart=3283
[RETRY_11_IBCH] t= 216.8s | pag=128 | files=  39 | data=  0 | cola=  56 | prio=50 | https://www.ibch.com/producto/diseno-y-construccion-de-bases-de-suelo-cemento/?add-to-cart=2437
[RETRY_11_IBCH] t= 217.9s | pag=129 | files=  39 | data=  0 | cola=  55 | prio=50 | https://www.ibch.com/producto/diseno-y-construccion-de-bases-de-suelo-cemento/?add-to-cart=3292
[RETRY_11_IBCH] t= 219.1s | pag=130 | files=  39 | data=  0 | cola=  54 | prio=50 | https://www.ibch.com/producto/diseno-y-construccion-de-bases-de-suelo-cemento/?add-to-cart=2381
[RETRY_11_IBCH] t= 220.5s | pag=131 | files=  39 | data=  0 | cola=  53 | prio=50 | https://www.ibch.com/producto/pavimentos-de-adoquines-de-hormigon/?add-to-cart=3283
[RETRY_11_IBCH] t= 221.6s | pag=132 | files=  39 | data=  0 | cola=  52 | prio=50 | https://www.ibch.com/producto/pavimentos-de-adoquines-de-hormigon/?add-to-cart=2437
[RETRY_11_IBCH] t= 222.7s | pag=133 | files=  39 | data=  0 | cola=  51 | prio=50 | https://www.ibch.com/producto/pavimentos-de-adoquines-de-hormigon/?add-to-cart=2381
[RETRY_11_IBCH] t= 223.8s | pag=134 | files=  39 | data=  0 | cola=  50 | prio=50 | https://www.ibch.com/courses/
[RETRY_11_IBCH] t= 225.0s | pag=135 | files=  39 | data=  0 | cola=  50 | prio=50 | https://www.ibch.com/course-category/diseno/?tutor-course-filter-category=49
