================================================================================
CRAWLER V2
================================================================================
Fuente: Federaci�n Internacional de F�tbol Asociaci�n
URL configurada: https://inside.fifa.com/en/official-documents
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://inside.fifa.com/en/official-documents
  Utilizada: https://inside.fifa.com/en/official-documents
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://inside.fifa.com/en/official-documents

URL de trabajo: https://inside.fifa.com/en/official-documents
Seeds: 3
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_07_FIFA] t= 190.7s | pag= 73 | files=  21 | data=  0 | cola=5339 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/balance-sheet-2022/
[RETRY_07_FIFA] t= 192.2s | pag= 74 | files=  21 | data=  0 | cola=5349 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/cash-flow-statement-2022/
[RETRY_07_FIFA] t= 193.9s | pag= 75 | files=  21 | data=  0 | cola=5348 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/changes-in-reserves-2022/
[RETRY_07_FIFA] t= 195.3s | pag= 76 | files=  21 | data=  0 | cola=5347 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/
[RETRY_07_FIFA] t= 197.2s | pag= 77 | files=  21 | data=  0 | cola=5350 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/1-revenue-from-television-broadcasting-rights-2022/
[RETRY_07_FIFA] DATASETS=1 | data_html_table | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/1-revenue-from-television-broadcasting-rights-2022/
[RETRY_07_FIFA] t= 199.0s | pag= 78 | files=  21 | data=  1 | cola=5349 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/2-revenue-from-marketing-rights-2022/
[RETRY_07_FIFA] DATASETS=2 | data_html_table | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/2-revenue-from-marketing-rights-2022/
[RETRY_07_FIFA] t= 200.5s | pag= 79 | files=  21 | data=  2 | cola=5348 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/3-revenue-from-licensing-rights-2022/
[RETRY_07_FIFA] t= 201.9s | pag= 80 | files=  21 | data=  2 | cola=5347 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/29-financial-risk-management-2022/
[RETRY_07_FIFA] t= 202.9s | pag= 81 | files=  21 | data=  2 | cola=5346 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/30-hedging-activities-and-derivative-financial-2022/
[RETRY_07_FIFA] t= 203.5s | pag= 82 | files=  21 | data=  2 | cola=5345 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/31-personnel-expenses-2022/
[RETRY_07_FIFA] t= 204.4s | pag= 83 | files=  21 | data=  2 | cola=5344 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/4-revenue-from-hospitality-accommodation-rights-2022/
[RETRY_07_FIFA] t= 205.1s | pag= 84 | files=  21 | data=  2 | cola=5343 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/5-other-revenue-2022/
[RETRY_07_FIFA] t= 206.0s | pag= 85 | files=  21 | data=  2 | cola=5342 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/6-other-income-2022/
[RETRY_07_FIFA] t= 207.6s | pag= 86 | files=  21 | data=  2 | cola=5341 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/7-competitions-and-events-2022/
[RETRY_07_FIFA] t= 208.5s | pag= 87 | files=  21 | data=  2 | cola=5340 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/22-financial-assets-2022/
[RETRY_07_FIFA] t= 209.3s | pag= 88 | files=  21 | data=  2 | cola=5339 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/notes-2022/19-inventories-2022/
