================================================================================
CRAWLER V2
================================================================================
Fuente: C�mara de Exportadores de Cochabamba
URL configurada: https://cadexco.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://cadexco.bo/
  Utilizada: https://cadexco.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://cadexco.bo/

URL de trabajo: https://cadexco.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_02_CADEXCO] SITEMAP | docs=6 | urls=215 | en_cola=214 | errores=0
[RETRY_02_CADEXCO] t= 193.0s | pag=104 | files=  16 | data=  0 | cola= 301 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3-3-2/
[RETRY_02_CADEXCO] t= 194.5s | pag=105 | files=  16 | data=  0 | cola= 300 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3-3-3/
[RETRY_02_CADEXCO] t= 196.3s | pag=106 | files=  16 | data=  0 | cola= 299 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3-3-3-2/
[RETRY_02_CADEXCO] t= 198.0s | pag=107 | files=  16 | data=  0 | cola= 298 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3-3-3-3/
[RETRY_02_CADEXCO] t= 199.8s | pag=108 | files=  16 | data=  0 | cola= 297 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3-3-3-4/
[RETRY_02_CADEXCO] t= 201.4s | pag=109 | files=  16 | data=  0 | cola= 296 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3-3-3-4-2/
[RETRY_02_CADEXCO] t= 203.3s | pag=110 | files=  16 | data=  0 | cola= 295 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3-3-3-4-2-2-2/
[RETRY_02_CADEXCO] t= 204.8s | pag=111 | files=  16 | data=  0 | cola= 294 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3-3-3-4-2-2-3/
[RETRY_02_CADEXCO] t= 206.5s | pag=112 | files=  16 | data=  0 | cola= 293 | prio=25 | https://cadexco.bo/evento/natural-organic-products-europe/
[RETRY_02_CADEXCO] t= 208.2s | pag=113 | files=  16 | data=  0 | cola= 292 | prio=25 | https://cadexco.bo/evento/fruit-logistica/
[RETRY_02_CADEXCO] t= 210.1s | pag=114 | files=  16 | data=  0 | cola= 291 | prio=25 | https://cadexco.bo/evento/vitafoods-international-presencial-online/
[RETRY_02_CADEXCO] t= 211.6s | pag=115 | files=  16 | data=  0 | cola= 290 | prio=25 | https://cadexco.bo/evento/apas-show/
[RETRY_02_CADEXCO] t= 213.0s | pag=116 | files=  16 | data=  0 | cola= 289 | prio=25 | https://cadexco.bo/evento/expo-antad-alimentaria-mexico/
[RETRY_02_CADEXCO] t= 214.6s | pag=117 | files=  16 | data=  0 | cola= 288 | prio=25 | https://cadexco.bo/evento/the-summer-fancy-food-show/
[RETRY_02_CADEXCO] t= 216.4s | pag=118 | files=  16 | data=  0 | cola= 287 | prio=25 | https://cadexco.bo/evento/fi-ingredients-southamerica/
[RETRY_02_CADEXCO] t= 218.1s | pag=119 | files=  16 | data=  0 | cola= 286 | prio=25 | https://cadexco.bo/evento/western-foodservice-and-hospitality-expo/
[RETRY_02_CADEXCO] t= 219.8s | pag=120 | files=  16 | data=  0 | cola= 285 | prio=25 | https://cadexco.bo/evento/biofach-india/
[RETRY_02_CADEXCO] t= 221.7s | pag=121 | files=  16 | data=  0 | cola= 284 | prio=25 | https://cadexco.bo/evento/sana/
[RETRY_02_CADEXCO] t= 223.3s | pag=122 | files=  16 | data=  0 | cola= 283 | prio=25 | https://cadexco.bo/evento/americas-food-beverage-show-conference/
[RETRY_02_CADEXCO] t= 225.1s | pag=123 | files=  16 | data=  0 | cola= 282 | prio=25 | https://cadexco.bo/evento/natural-products-expo-east-all-things-organics/
[RETRY_02_CADEXCO] t= 227.0s | pag=124 | files=  16 | data=  0 | cola= 281 | prio=25 | https://cadexco.bo/evento/eurofruit/
[RETRY_02_CADEXCO] t= 228.2s | pag=125 | files=  16 | data=  0 | cola= 280 | prio=25 | https://cadexco.bo/evento/feria-internacional-artesanias/
[RETRY_02_CADEXCO] t= 229.9s | pag=126 | files=  16 | data=  0 | cola= 279 | prio=25 | https://cadexco.bo/evento/bazaar-berlin/
