================================================================================
CRAWLER V2
================================================================================
Fuente: ASFI / FINRURAL
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 2
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI_FINRURAL] t= 152.5s | pag=141 | files= 734 | data=  4 | cola= 328 | prio= 2 | https://asfi.gob.bo/la/principales-indicadores-financieros
[ASFI_FINRURAL] t= 153.4s | pag=142 | files= 734 | data=  4 | cola= 327 | prio= 2 | https://asfi.gob.bo/pb/boletines-estadisticos-mercado-valores
[ASFI_FINRURAL] t= 154.3s | pag=143 | files= 734 | data=  4 | cola= 337 | prio= 2 | https://asfi.gob.bo/la/reportes-dinamicos
[ASFI_FINRURAL] t= 155.0s | pag=144 | files= 734 | data=  4 | cola= 336 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-reclamos
[ASFI_FINRURAL] t= 155.5s | pag=145 | files= 734 | data=  4 | cola= 374 | prio=10 | https://asfi.gob.bo/pb/boletin-trimestral-actualizacion-y-emision-normativa
[ASFI_FINRURAL] t= 155.9s | pag=146 | files= 734 | data=  4 | cola= 391 | prio=10 | https://asfi.gob.bo/pb/puntos-atenci%C3%B3n-financiera
[ASFI_FINRURAL] t= 156.8s | pag=147 | files= 734 | data=  4 | cola= 393 | prio=10 | https://asfi.gob.bo/pagina-lista-boletines
[ASFI_FINRURAL] t= 157.2s | pag=148 | files= 743 | data=  4 | cola= 394 | prio=10 | https://asfi.gob.bo/la/hechos-relevantes
[ASFI_FINRURAL] t= 158.1s | pag=149 | files= 743 | data=  4 | cola= 405 | prio=10 | https://asfi.gob.bo/la/documentos-y-formularios
[ASFI_FINRURAL] t= 158.5s | pag=150 | files= 751 | data=  4 | cola= 404 | prio=10 | https://asfi.gob.bo/node/1008
