================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero - Mercado de Valores
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 2
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI_VALORES] t= 146.2s | pag=137 | files= 730 | data=  3 | cola= 301 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-intermediacion-financiera
[ASFI_VALORES] t= 146.8s | pag=138 | files= 730 | data=  3 | cola= 311 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-mercado-valores
[ASFI_VALORES] t= 147.6s | pag=139 | files= 730 | data=  3 | cola= 315 | prio= 2 | https://asfi.gob.bo/pb/datos-sobre-reclamos-y-consultas-atendidas
[ASFI_VALORES] t= 148.5s | pag=140 | files= 730 | data=  3 | cola= 316 | prio= 2 | https://asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI_VALORES] DATASETS=4 | data_html_table | https://asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI_VALORES] t= 149.2s | pag=141 | files= 733 | data=  4 | cola= 315 | prio= 2 | https://asfi.gob.bo/pb/boletines-estadisticos
[ASFI_VALORES] t= 151.2s | pag=142 | files= 734 | data=  4 | cola= 327 | prio= 2 | https://asfi.gob.bo/la/principales-indicadores-financieros
[ASFI_VALORES] t= 151.9s | pag=143 | files= 734 | data=  4 | cola= 326 | prio= 2 | https://asfi.gob.bo/pb/boletines-estadisticos-mercado-valores
[ASFI_VALORES] t= 152.8s | pag=144 | files= 734 | data=  4 | cola= 336 | prio= 2 | https://asfi.gob.bo/la/reportes-dinamicos
[ASFI_VALORES] t= 153.6s | pag=145 | files= 734 | data=  4 | cola= 335 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-reclamos
[ASFI_VALORES] t= 154.3s | pag=146 | files= 734 | data=  4 | cola= 373 | prio=10 | https://asfi.gob.bo/pb/mision-vision-y-valores
[ASFI_VALORES] t= 154.7s | pag=147 | files= 734 | data=  4 | cola= 372 | prio=10 | https://asfi.gob.bo/pb/boletin-trimestral-actualizacion-y-emision-normativa
[ASFI_VALORES] t= 155.5s | pag=148 | files= 734 | data=  4 | cola= 389 | prio=10 | https://asfi.gob.bo/pb/puntos-atenci%C3%B3n-financiera
[ASFI_VALORES] t= 156.3s | pag=149 | files= 734 | data=  4 | cola= 391 | prio=10 | https://asfi.gob.bo/pagina-lista-boletines
[ASFI_VALORES] t= 156.9s | pag=150 | files= 743 | data=  4 | cola= 392 | prio=10 | https://asfi.gob.bo/la/hechos-relevantes
[ASFI_VALORES] t= 157.7s | pag=151 | files= 743 | data=  4 | cola= 403 | prio=10 | https://asfi.gob.bo/la/documentos-y-formularios
[ASFI_VALORES] t= 158.5s | pag=152 | files= 751 | data=  4 | cola= 402 | prio=10 | https://asfi.gob.bo/node/1008
[ASFI_VALORES] t= 159.1s | pag=153 | files= 752 | data=  4 | cola= 401 | prio=10 | https://asfi.gob.bo/node/1011
[ASFI_VALORES] t= 159.8s | pag=154 | files= 752 | data=  4 | cola= 400 | prio=10 | https://asfi.gob.bo/node/1006
